Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
2L,2L10X10X7/8,2L10X10X7/8,114.0,33.6,10.0,,,,,,,,10.0,,,,,,,0.875,,,,,,,2.8,,,0.84,,11.4,,,,,316.0,79.8,43.8,3.07,579.0,94.1,57.9,4.15,,,,,,,,,,,,,5.68,0.827,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X7/8X3/4,2L10X10X7/8X3/4,114.0,33.6,10.0,,,,,,,,10.0,,,,,,,0.875,,,,,,,2.8,,,0.84,,11.4,,,,,316.0,79.8,43.8,3.07,655.0,107.0,63.1,4.42,,,,,,,,,,,,,5.87,0.838,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X7/8X1-1/2,2L10X10X7/8X1-1/2,114.0,33.6,10.0,,,,,,,,10.0,,,,,,,0.875,,,,,,,2.8,,,0.84,,11.4,,,,,316.0,79.8,43.8,3.07,739.0,119.0,68.7,4.69,,,,,,,,,,,,,6.08,0.849,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X3/4,2L10X10X3/4,98.2,29.0,10.0,,,,,,,,10.0,,,,,,,0.75,,,,,,,2.76,,,0.725,,13.3,,,,,278.0,69.2,38.4,3.1,499.0,80.0,49.9,4.15,,,,,,,,,,,,,5.7,0.825,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X3/4X3/4,2L10X10X3/4X3/4,98.2,29.0,10.0,,,,,,,,10.0,,,,,,,0.75,,,,,,,2.76,,,0.725,,13.3,,,,,278.0,69.2,38.4,3.1,563.0,90.9,54.3,4.41,,,,,,,,,,,,,5.89,0.836,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X3/4X1-1/2,2L10X10X3/4X1-1/2,98.2,29.0,10.0,,,,,,,,10.0,,,,,,,0.75,,,,,,,2.76,,,0.725,,13.3,,,,,278.0,69.2,38.4,3.1,635.0,102.0,59.1,4.68,,,,,,,,,,,,,6.1,0.847,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X1-1/8,2L8X8X1-1/8,114.0,33.6,8.0,,,,,,,,8.0,,,,,,,1.13,,,,,,,2.4,,,1.05,,7.08,,,,,196.0,63.2,35.0,2.41,391.0,80.6,48.9,3.41,,,,,,,,,,,,,4.56,0.837,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X1-1/8X3/8,2L8X8X1-1/8X3/8,114.0,33.6,8.0,,,,,,,,8.0,,,,,,,1.13,,,,,,,2.4,,,1.05,,7.08,,,,,196.0,63.2,35.0,2.41,421.0,86.9,51.4,3.54,,,,,,,,,,,,,4.66,0.844,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X1-1/8X3/4,2L8X8X1-1/8X3/4,114.0,33.6,8.0,,,,,,,,8.0,,,,,,,1.13,,,,,,,2.4,,,1.05,,7.08,,,,,196.0,63.2,35.0,2.41,455.0,93.2,54.3,3.68,,,,,,,,,,,,,4.77,0.851,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X1,2L8X8X1,102.0,30.2,8.0,,,,,,,,8.0,,,,,,,1.0,,,,,,,2.36,,,0.944,,8.0,,,,,178.0,57.0,31.6,2.43,347.0,71.3,43.4,3.39,,,,,,,,,,,,,4.56,0.834,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X1X3/8,2L8X8X1X3/8,102.0,30.2,8.0,,,,,,,,8.0,,,,,,,1.0,,,,,,,2.36,,,0.944,,8.0,,,,,178.0,57.0,31.6,2.43,374.0,76.9,45.7,3.52,,,,,,,,,,,,,4.66,0.841,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X1X3/4,2L8X8X1X3/4,102.0,30.2,8.0,,,,,,,,8.0,,,,,,,1.0,,,,,,,2.36,,,0.944,,8.0,,,,,178.0,57.0,31.6,2.43,405.0,82.6,48.4,3.66,,,,,,,,,,,,,4.77,0.848,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X7/8,2L8X8X7/8,90.0,26.6,8.0,,,,,,,,8.0,,,,,,,0.875,,,,,,,2.31,,,0.831,,9.14,,,,,159.0,50.6,28.0,2.45,300.0,61.4,37.5,3.36,,,,,,,,,,,,,4.56,0.831,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X7/8X3/8,2L8X8X7/8X3/8,90.0,26.6,8.0,,,,,,,,8.0,,,,,,,0.875,,,,,,,2.31,,,0.831,,9.14,,,,,159.0,50.6,28.0,2.45,326.0,66.4,39.8,3.5,,,,,,,,,,,,,4.66,0.838,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X7/8X3/4,2L8X8X7/8X3/4,90.0,26.6,8.0,,,,,,,,8.0,,,,,,,0.875,,,,,,,2.31,,,0.831,,9.14,,,,,159.0,50.6,28.0,2.45,351.0,71.4,41.9,3.63,,,,,,,,,,,,,4.76,0.845,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X3/4,2L8X8X3/4,77.8,23.0,8.0,,,,,,,,8.0,,,,,,,0.75,,,,,,,2.26,,,0.719,,10.7,,,,,140.0,44.0,24.4,2.46,257.0,52.0,32.1,3.34,,,,,,,,,,,,,4.56,0.829,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X3/4X3/8,2L8X8X3/4X3/8,77.8,23.0,8.0,,,,,,,,8.0,,,,,,,0.75,,,,,,,2.26,,,0.719,,10.7,,,,,140.0,44.0,24.4,2.46,277.0,56.3,33.8,3.47,,,,,,,,,,,,,4.66,0.836,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X3/4X3/4,2L8X8X3/4X3/4,77.8,23.0,8.0,,,,,,,,8.0,,,,,,,0.75,,,,,,,2.26,,,0.719,,10.7,,,,,140.0,44.0,24.4,2.46,300.0,60.6,35.8,3.61,,,,,,,,,,,,,4.76,0.843,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L8X8X5/8,2L8X8X5/8,65.4,19.4,8.0,,,,,,,,8.0,,,,,,,0.625,,,,,,,2.21,,,0.606,,12.8,,,,,119.0,37.2,20.6,2.48,214.0,42.8,26.8,3.32,,,,,,,,,,,,,4.56,0.826,,,,,,,,,,,,,,,,,,,,,,,,
